,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Type,Maturity
101,SPY210416C00361000,2021-03-12 3:57PM EST,361.0,34.1,34.05,34.22,-0.34,-0.99%,52,1572,21.77%,C,210416
102,SPY210416C00362000,2021-03-12 3:49PM EST,362.0,32.95,33.12,33.29,-0.83,-2.46%,25,814,21.60%,C,210416
103,SPY210416C00363000,2021-03-12 3:51PM EST,363.0,31.95,32.19,32.36,-1.21,-3.65%,10,955,21.40%,C,210416
104,SPY210416C00364000,2021-03-11 10:39AM EST,364.0,31.14,31.27,31.44,0.0,-,111,711,21.23%,C,210416
105,SPY210416C00365000,2021-03-12 3:57PM EST,365.0,30.5,30.35,30.52,0.15,+0.49%,343,2914,21.05%,C,210416
106,SPY210416C00366000,2021-03-11 12:30PM EST,366.0,28.6,29.44,29.61,-1.75,-5.77%,2,1252,20.87%,C,210416
107,SPY210416C00367000,2021-03-12 3:59PM EST,367.0,28.71,28.53,28.7,-1.02,-3.43%,2,3177,20.69%,C,210416
108,SPY210416C00368000,2021-03-11 2:51PM EST,368.0,28.4,27.63,27.8,0.0,-,68,1378,20.52%,C,210416
109,SPY210416C00369000,2021-03-12 3:02PM EST,369.0,26.1,26.73,26.9,-0.78,-2.90%,27,2164,20.33%,C,210416
110,SPY210416C00370000,2021-03-12 3:18PM EST,370.0,25.48,25.83,26.01,-0.29,-1.13%,15,16729,20.15%,C,210416
111,SPY210416C00371000,2021-03-12 3:59PM EST,371.0,25.15,24.96,25.12,0.13,+0.52%,13,1084,19.95%,C,210416
112,SPY210416C00372000,2021-03-12 10:57AM EST,372.0,24.17,24.07,24.25,-1.16,-4.58%,14,4880,19.79%,C,210416
113,SPY210416C00373000,2021-03-12 9:30AM EST,373.0,22.02,23.21,23.37,-2.25,-9.27%,4,2301,19.57%,C,210416
114,SPY210416C00374000,2021-03-12 2:44PM EST,374.0,21.89,22.33,22.51,-1.23,-5.32%,313,2184,19.40%,C,210416
115,SPY210416C00375000,2021-03-12 4:01PM EST,375.0,21.69,21.51,21.65,0.19,+0.88%,238,14262,19.20%,C,210416
116,SPY210416C00376000,2021-03-12 10:53AM EST,376.0,19.41,20.63,20.8,-2.13,-9.89%,29,2765,19.01%,C,210416
117,SPY210416C00377000,2021-03-12 2:09PM EST,377.0,19.5,19.82,19.96,-0.67,-3.32%,6,2656,18.82%,C,210416
118,SPY210416C00378000,2021-03-12 2:38PM EST,378.0,18.24,19.03,19.12,-1.16,-5.98%,6,4394,18.60%,C,210416
119,SPY210416C00379000,2021-03-12 1:21PM EST,379.0,17.42,18.2,18.3,-1.05,-5.68%,23,5935,18.42%,C,210416
120,SPY210416C00380000,2021-03-12 4:05PM EST,380.0,17.59,17.39,17.48,0.29,+1.68%,244,12205,18.20%,C,210416
121,SPY210416C00381000,2021-03-12 3:39PM EST,381.0,16.54,16.56,16.68,-0.03,-0.18%,74,3704,18.01%,C,210416
122,SPY210416C00382000,2021-03-12 3:08PM EST,382.0,15.25,15.79,15.88,-1.79,-10.50%,32,7031,17.79%,C,210416
123,SPY210416C00383000,2021-03-12 3:28PM EST,383.0,15.11,15.01,15.1,0.01,+0.07%,129,6683,17.59%,C,210416
124,SPY210416C00384000,2021-03-12 4:07PM EST,384.0,14.42,14.23,14.31,-0.11,-0.76%,132,6884,17.33%,C,210416
125,SPY210416C00385000,2021-03-12 4:12PM EST,385.0,13.58,13.48,13.57,0.03,+0.22%,448,72156,17.16%,C,210416
126,SPY210416C00386000,2021-03-12 4:08PM EST,386.0,12.92,12.74,12.81,-0.15,-1.15%,707,7998,16.92%,C,210416
127,SPY210416C00387000,2021-03-12 3:39PM EST,387.0,12.01,12.01,12.1,-0.21,-1.72%,679,8195,16.75%,C,210416
128,SPY210416C00388000,2021-03-12 4:03PM EST,388.0,11.57,11.3,11.39,0.17,+1.49%,342,5569,16.55%,C,210416
129,SPY210416C00389000,2021-03-12 4:12PM EST,389.0,10.67,10.62,10.68,-0.23,-2.11%,591,4298,16.32%,C,210416
130,SPY210416C00390000,2021-03-12 4:12PM EST,390.0,10.01,9.95,10.01,-0.07,-0.69%,2505,19102,16.13%,C,210416
131,SPY210416C00391000,2021-03-12 4:12PM EST,391.0,9.35,9.3,9.35,0.01,+0.11%,2758,7431,15.92%,C,210416
132,SPY210416C00392000,2021-03-12 4:11PM EST,392.0,8.76,8.67,8.72,0.05,+0.57%,3440,6251,15.74%,C,210416
133,SPY210416C00393000,2021-03-12 4:07PM EST,393.0,8.2,8.07,8.11,-0.07,-0.85%,2096,5885,15.56%,C,210416
134,SPY210416C00394000,2021-03-12 4:14PM EST,394.0,7.5,7.48,7.52,-0.04,-0.53%,1244,5291,15.38%,C,210416
135,SPY210416C00395000,2021-03-12 4:13PM EST,395.0,6.97,6.92,6.96,-0.08,-1.13%,7097,15755,15.22%,C,210416
136,SPY210416C00396000,2021-03-12 4:14PM EST,396.0,6.42,6.39,6.43,-0.16,-2.43%,1405,6089,15.08%,C,210416
137,SPY210416C00397000,2021-03-12 4:00PM EST,397.0,5.94,5.89,5.92,-0.02,-0.34%,1623,7394,14.93%,C,210416
138,SPY210416C00398000,2021-03-12 4:07PM EST,398.0,5.49,5.41,5.44,-0.02,-0.36%,2415,7980,14.80%,C,210416
139,SPY210416C00399000,2021-03-12 3:53PM EST,399.0,4.96,4.95,4.99,-0.25,-4.80%,1255,4994,14.68%,C,210416
140,SPY210416C00400000,2021-03-12 4:13PM EST,400.0,4.53,4.53,4.57,-0.1,-2.16%,4120,36936,14.58%,C,210416
141,SPY210416C00401000,2021-03-12 3:42PM EST,401.0,4.18,4.13,4.17,-0.06,-1.42%,608,9304,14.47%,C,210416
142,SPY210416C00402000,2021-03-12 4:05PM EST,402.0,3.87,3.76,3.8,0.01,+0.26%,1676,12822,14.38%,C,210416
143,SPY210416C00403000,2021-03-12 4:09PM EST,403.0,3.5,3.42,3.45,0.0,-,875,5449,14.29%,C,210416
144,SPY210416C00404000,2021-03-12 4:12PM EST,404.0,3.13,3.1,3.13,-0.05,-1.57%,276,4628,14.21%,C,210416
145,SPY210416C00405000,2021-03-12 4:11PM EST,405.0,2.85,2.82,2.84,-0.06,-2.06%,5600,15461,14.16%,C,210416
146,SPY210416C00406000,2021-03-12 3:42PM EST,406.0,2.56,2.53,2.57,-0.03,-1.16%,1212,9338,14.11%,C,210416
147,SPY210416C00407000,2021-03-12 4:12PM EST,407.0,2.31,2.29,2.32,-0.05,-2.12%,662,52329,14.06%,C,210416
148,SPY210416C00408000,2021-03-12 4:11PM EST,408.0,2.09,2.06,2.09,-0.04,-1.88%,646,5372,14.02%,C,210416
149,SPY210416C00409000,2021-03-12 4:14PM EST,409.0,1.85,1.85,1.88,-0.04,-2.12%,869,71762,13.98%,C,210416
150,SPY210416C00410000,2021-03-12 4:08PM EST,410.0,1.72,1.66,1.69,0.0,-,2610,121959,13.96%,C,210416
151,SPY210416C00411000,2021-03-12 3:57PM EST,411.0,1.49,1.49,1.52,-0.04,-2.61%,561,7707,13.95%,C,210416
152,SPY210416C00412000,2021-03-12 4:02PM EST,412.0,1.38,1.34,1.36,-0.03,-2.13%,195,4293,13.92%,C,210416
153,SPY210416C00413000,2021-03-12 4:05PM EST,413.0,1.22,1.2,1.22,-0.11,-8.27%,55,6305,13.92%,C,210416
154,SPY210416C00414000,2021-03-12 4:02PM EST,414.0,1.1,1.07,1.09,-0.22,-16.67%,194,5762,13.91%,C,210416
155,SPY210416C00415000,2021-03-12 4:01PM EST,415.0,0.97,0.95,0.97,-0.03,-3.00%,634,10051,13.89%,C,210416
156,SPY210416C00416000,2021-03-12 3:52PM EST,416.0,0.86,0.85,0.87,-0.03,-3.37%,76,3166,13.92%,C,210416
157,SPY210416C00417000,2021-03-12 4:02PM EST,417.0,0.8,0.76,0.78,-0.02,-2.44%,219,8271,13.94%,C,210416
158,SPY210416C00418000,2021-03-12 3:47PM EST,418.0,0.66,0.68,0.69,-0.06,-8.33%,63,1409,13.93%,C,210416
159,SPY210416C00419000,2021-03-12 3:41PM EST,419.0,0.61,0.6,0.62,-0.02,-3.17%,201,1557,13.98%,C,210416
160,SPY210416C00420000,2021-03-12 4:06PM EST,420.0,0.56,0.54,0.55,-0.02,-3.45%,3858,15926,13.98%,C,210416
161,SPY210416C00421000,2021-03-12 3:46PM EST,421.0,0.49,0.48,0.49,-0.08,-14.04%,44,983,14.01%,C,210416
162,SPY210416C00422000,2021-03-12 3:39PM EST,422.0,0.43,0.43,0.44,-0.04,-8.51%,99,880,14.06%,C,210416
163,SPY210416C00423000,2021-03-12 4:01PM EST,423.0,0.4,0.38,0.39,-0.1,-20.00%,38,2844,14.09%,C,210416
164,SPY210416C00424000,2021-03-12 3:41PM EST,424.0,0.35,0.34,0.35,-0.06,-14.63%,50,881,14.14%,C,210416
165,SPY210416C00425000,2021-03-12 3:55PM EST,425.0,0.3,0.31,0.32,-0.05,-14.29%,707,22696,14.25%,C,210416
166,SPY210416C00426000,2021-03-12 4:03PM EST,426.0,0.29,0.28,0.29,-0.01,-3.33%,528,1734,14.33%,C,210416
167,SPY210416C00427000,2021-03-12 3:39PM EST,427.0,0.26,0.25,0.26,-0.05,-16.13%,120,771,14.38%,C,210416
168,SPY210416C00428000,2021-03-12 2:34PM EST,428.0,0.23,0.22,0.23,-0.02,-8.00%,1962,1007,14.41%,C,210416
169,SPY210416C00429000,2021-03-12 3:39PM EST,429.0,0.21,0.2,0.21,-0.04,-16.00%,28,754,14.53%,C,210416
170,SPY210416C00430000,2021-03-12 4:03PM EST,430.0,0.19,0.18,0.19,-0.01,-5.00%,3230,46949,14.60%,C,210416
171,SPY210416C00435000,2021-03-12 3:39PM EST,435.0,0.12,0.11,0.12,-0.01,-7.69%,166,2975,15.09%,C,210416
172,SPY210416C00440000,2021-03-12 3:53PM EST,440.0,0.08,0.07,0.08,-0.01,-11.11%,168,4327,15.67%,C,210416
173,SPY210416C00445000,2021-03-12 3:39PM EST,445.0,0.06,0.05,0.06,0.0,-,128,2851,16.41%,C,210416
174,SPY210416C00450000,2021-03-12 3:41PM EST,450.0,0.03,0.03,0.04,-0.02,-40.00%,192,13737,16.90%,C,210416
175,SPY210416C00455000,2021-03-12 3:53PM EST,455.0,0.03,0.02,0.04,0.0,-,56,502,18.16%,C,210416
176,SPY210416C00460000,2021-03-11 3:21PM EST,460.0,0.03,0.0,0.0,0.01,+50.00%,153,3264,12.50%,C,210416
177,SPY210416C00465000,2021-03-10 2:56PM EST,465.0,0.02,0.01,0.02,0.0,-,105,436,19.14%,C,210416
178,SPY210416C00470000,2021-03-12 3:39PM EST,470.0,0.02,0.01,0.02,0.0,-,5,1205,20.31%,C,210416
179,SPY210416C00475000,2021-03-09 10:11AM EST,475.0,0.02,0.01,0.02,0.0,-,101,1073,21.29%,C,210416
180,SPY210416C00480000,2021-03-12 10:04AM EST,480.0,0.02,0.0,0.0,0.0,-,101,837,12.50%,C,210416
181,SPY210416C00485000,2021-03-12 1:44PM EST,485.0,0.01,0.01,0.02,-0.01,-50.00%,1,290,23.44%,C,210416
182,SPY210416C00490000,2021-03-10 3:51PM EST,490.0,0.01,0.01,0.01,0.0,-,1,1011,23.05%,C,210416
183,SPY210416C00495000,2021-03-11 1:23PM EST,495.0,0.01,0.0,0.01,0.0,-,3,225,24.22%,C,210416
184,SPY210416C00500000,2021-03-12 9:32AM EST,500.0,0.01,0.0,0.01,0.0,-,173,2340,25.00%,C,210416
185,SPY210416C00505000,2021-02-25 9:30AM EST,505.0,0.02,0.0,0.01,0.0,-,5,174,25.78%,C,210416
186,SPY210416C00510000,2021-03-04 11:31AM EST,510.0,0.01,0.0,0.01,0.0,-,9,731,26.95%,C,210416
187,SPY210416C00515000,2021-03-11 9:43AM EST,515.0,0.01,0.0,0.01,0.0,-,7,807,27.74%,C,210416
0,SPY210416P00165000,2021-03-12 2:48PM EST,165.0,0.02,0.0,0.0,0.0,-,752,7891,50.00%,P,210416
1,SPY210416P00170000,2021-03-12 11:32AM EST,170.0,0.02,0.01,0.02,0.0,-,101,2965,85.94%,P,210416
2,SPY210416P00175000,2021-03-12 3:39PM EST,175.0,0.02,0.02,0.03,0.01,+100.00%,2372,5233,86.72%,P,210416
3,SPY210416P00180000,2021-03-11 9:30AM EST,180.0,0.02,0.02,0.03,0.0,-,2,2249,83.98%,P,210416
4,SPY210416P00185000,2021-03-10 1:24PM EST,185.0,0.03,0.02,0.03,0.0,-,110,2442,81.25%,P,210416
5,SPY210416P00190000,2021-03-12 4:12PM EST,190.0,0.03,0.03,0.04,0.01,+50.00%,2008,2059,80.86%,P,210416
6,SPY210416P00195000,2021-03-12 9:30AM EST,195.0,0.03,0.03,0.04,-0.01,-25.00%,280,1664,78.13%,P,210416
7,SPY210416P00200000,2021-03-12 12:23PM EST,200.0,0.04,0.03,0.04,0.0,-,145,4417,75.39%,P,210416
8,SPY210416P00205000,2021-03-12 3:39PM EST,205.0,0.04,0.04,0.05,-0.01,-20.00%,469,1218,74.61%,P,210416
9,SPY210416P00210000,2021-03-12 4:12PM EST,210.0,0.04,0.04,0.05,-0.02,-33.33%,518,13396,71.88%,P,210416
10,SPY210416P00215000,2021-03-12 3:39PM EST,215.0,0.06,0.05,0.06,0.0,-,497,14673,70.90%,P,210416
11,SPY210416P00220000,2021-03-12 4:10PM EST,220.0,0.06,0.06,0.07,-0.01,-14.29%,223,3447,69.53%,P,210416
12,SPY210416P00225000,2021-03-12 4:11PM EST,225.0,0.07,0.06,0.08,-0.01,-12.50%,923,3639,67.58%,P,210416
13,SPY210416P00230000,2021-03-12 3:39PM EST,230.0,0.08,0.07,0.08,0.0,-,441,2438,65.53%,P,210416
14,SPY210416P00235000,2021-03-10 2:30PM EST,235.0,0.09,0.08,0.09,-0.05,-35.71%,414,3590,63.97%,P,210416
15,SPY210416P00240000,2021-03-12 3:39PM EST,240.0,0.1,0.09,0.1,0.0,-,437,2859,62.31%,P,210416
16,SPY210416P00245000,2021-03-12 4:11PM EST,245.0,0.12,0.11,0.12,0.01,+9.09%,431,13970,61.23%,P,210416
17,SPY210416P00250000,2021-03-12 3:47PM EST,250.0,0.13,0.12,0.13,-0.01,-7.14%,652,3602,59.38%,P,210416
18,SPY210416P00255000,2021-03-12 3:46PM EST,255.0,0.14,0.13,0.14,-0.01,-6.67%,357,6135,57.52%,P,210416
19,SPY210416P00260000,2021-03-12 3:39PM EST,260.0,0.16,0.15,0.16,-0.01,-5.88%,382,11098,56.15%,P,210416
20,SPY210416P00265000,2021-03-12 3:39PM EST,265.0,0.18,0.17,0.18,-0.02,-10.00%,1157,2495,54.69%,P,210416
