,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity,Type,Mid
58,SPY210416C00318000,2021-03-02 10:37AM EDT,318.0,71.94,75.8,76.62,0.0,-,1,705,39.21%,2021-04-16,C,76.21000000000001
59,SPY210416C00319000,2021-03-09 3:14PM EDT,319.0,70.98,74.81,75.54,0.0,-,1,729,37.77%,2021-04-16,C,75.17500000000001
60,SPY210416C00320000,2021-03-11 2:50PM EDT,320.0,74.84,73.81,74.62,0.0,-,3,20218,38.23%,2021-04-16,C,74.215
61,SPY210416C00321000,2021-03-08 1:59PM EDT,321.0,66.36,72.81,73.68,0.0,-,33,34,38.40%,2021-04-16,C,73.245
62,SPY210416C00322000,2021-03-04 3:58PM EDT,322.0,56.7,71.82,72.63,0.0,-,3,96,37.38%,2021-04-16,C,72.225
63,SPY210416C00323000,2021-02-25 10:51AM EDT,323.0,69.22,70.82,71.68,0.0,-,1,30,37.45%,2021-04-16,C,71.25
64,SPY210416C00324000,2021-02-25 10:50AM EDT,324.0,68.11,69.83,70.66,0.0,-,4,20,36.74%,2021-04-16,C,70.245
65,SPY210416C00325000,2021-03-11 2:26PM EDT,325.0,69.97,68.84,69.61,0.0,-,10,7201,35.74%,2021-04-16,C,69.225
66,SPY210416C00326000,2021-02-26 3:22PM EDT,326.0,57.3,67.84,68.7,0.0,-,46,97,36.19%,2021-04-16,C,68.27000000000001
67,SPY210416C00327000,2021-03-05 12:36PM EDT,327.0,49.58,66.85,67.66,0.0,-,18,86,35.30%,2021-04-16,C,67.255
68,SPY210416C00328000,2021-03-04 3:35PM EDT,328.0,61.91,65.86,66.7,0.0,-,10,62,35.23%,2021-04-16,C,66.28
69,SPY210416C00329000,2021-03-12 3:59PM EDT,329.0,64.12,64.88,65.72,2.86,+4.67%,14,115,34.94%,2021-04-16,C,65.3
70,SPY210416C00330000,2021-03-11 2:50PM EDT,330.0,64.99,63.87,64.64,0.0,-,26,16813,33.67%,2021-04-16,C,64.255
71,SPY210416C00331000,2021-03-10 11:39AM EDT,331.0,58.15,62.88,63.73,0.0,-,40,70,34.06%,2021-04-16,C,63.305
72,SPY210416C00332000,2021-03-03 10:37AM EDT,332.0,55.24,62.06,62.74,0.0,-,2,60,33.67%,2021-04-16,C,62.400000000000006
73,SPY210416C00333000,2021-03-11 3:32PM EDT,333.0,62.2,60.9,61.74,0.0,-,5,122,33.18%,2021-04-16,C,61.32
74,SPY210416C00334000,2021-03-08 11:07AM EDT,334.0,52.0,60.11,60.45,0.0,-,1,154,29.74%,2021-04-16,C,60.28
75,SPY210416C00335000,2021-03-12 5:03PM EDT,335.0,59.59,59.12,59.46,-0.87,-1.44%,4,22316,29.42%,2021-04-16,C,59.29
76,SPY210416C00336000,2021-03-05 12:29PM EDT,336.0,59.39,58.13,58.47,0.0,-,2,224,29.08%,2021-04-16,C,58.3
77,SPY210416C00337000,2021-03-10 4:37PM EDT,337.0,53.52,57.14,57.48,0.0,-,70,320,28.74%,2021-04-16,C,57.31
78,SPY210416C00338000,2021-03-12 1:55PM EDT,338.0,54.88,56.15,56.49,2.67,+5.11%,11,455,28.39%,2021-04-16,C,56.32
79,SPY210416C00339000,2021-03-11 4:24PM EDT,339.0,55.48,55.17,55.51,0.0,-,110,1031,28.15%,2021-04-16,C,55.34
80,SPY210416C00340000,2021-03-12 4:37PM EDT,340.0,54.46,54.19,54.52,4.28,+8.53%,3,8342,27.78%,2021-04-16,C,54.355000000000004
81,SPY210416C00341000,2021-03-11 4:24PM EDT,341.0,53.49,53.2,53.54,0.0,-,110,964,27.54%,2021-04-16,C,53.370000000000005
82,SPY210416C00342000,2021-03-08 11:51AM EDT,342.0,45.95,52.22,52.56,0.0,-,3,915,27.27%,2021-04-16,C,52.39
83,SPY210416C00343000,2021-03-12 1:15PM EDT,343.0,50.24,51.24,51.58,-0.89,-1.74%,24,1028,26.99%,2021-04-16,C,51.41
84,SPY210416C00344000,2021-03-11 4:45PM EDT,344.0,50.41,50.26,50.6,0.0,-,90,787,26.71%,2021-04-16,C,50.43
85,SPY210416C00345000,2021-03-11 12:59PM EDT,345.0,47.56,49.29,49.63,-2.81,-5.58%,23,2182,26.50%,2021-04-16,C,49.46
86,SPY210416C00346000,2021-03-11 4:41PM EDT,346.0,47.4,48.31,48.65,-1.22,-2.51%,69,1197,26.20%,2021-04-16,C,48.480000000000004
87,SPY210416C00347000,2021-03-12 4:14PM EDT,347.0,46.5,47.34,47.68,9.99,+27.36%,46,1743,25.98%,2021-04-16,C,47.510000000000005
88,SPY210416C00348000,2021-03-09 2:00PM EDT,348.0,45.67,46.37,46.71,-0.23,-0.50%,69,966,25.73%,2021-04-16,C,46.54
89,SPY210416C00349000,2021-03-12 2:30PM EDT,349.0,44.65,45.4,45.74,-0.22,-0.49%,98,892,25.49%,2021-04-16,C,45.57
90,SPY210416C00350000,2021-03-12 4:27PM EDT,350.0,44.05,44.44,44.78,-1.94,-4.22%,544,4088,25.29%,2021-04-16,C,44.61
91,SPY210416C00351000,2021-03-12 2:25PM EDT,351.0,43.13,43.47,43.81,0.28,+0.65%,95,491,25.03%,2021-04-16,C,43.64
92,SPY210416C00352000,2021-03-12 2:40PM EDT,352.0,41.8,42.51,42.85,0.4,+0.97%,304,973,24.81%,2021-04-16,C,42.68
93,SPY210416C00353000,2021-03-12 2:42PM EDT,353.0,40.71,41.55,41.89,2.16,+5.60%,95,899,24.57%,2021-04-16,C,41.72
94,SPY210416C00354000,2021-03-12 4:28PM EDT,354.0,40.17,40.67,40.84,0.71,+1.80%,33,850,23.76%,2021-04-16,C,40.755
95,SPY210416C00355000,2021-03-12 4:22PM EDT,355.0,39.31,39.71,39.88,-1.46,-3.58%,107,2190,23.52%,2021-04-16,C,39.795
96,SPY210416C00356000,2021-03-12 4:08PM EDT,356.0,37.92,38.76,38.93,-2.48,-6.14%,33,949,23.34%,2021-04-16,C,38.845
97,SPY210416C00357000,2021-03-12 2:40PM EDT,357.0,37.0,37.81,37.98,0.28,+0.76%,23,1000,23.13%,2021-04-16,C,37.894999999999996
98,SPY210416C00358000,2021-03-11 12:29PM EDT,358.0,37.16,36.87,37.03,0.0,-,33,605,22.91%,2021-04-16,C,36.95
99,SPY210416C00359000,2021-03-11 5:01PM EDT,359.0,35.9,35.92,36.09,0.19,+0.53%,2,797,22.73%,2021-04-16,C,36.005
100,SPY210416C00360000,2021-03-12 4:58PM EDT,360.0,35.13,34.99,35.15,-0.16,-0.45%,150,6420,22.52%,2021-04-16,C,35.07
101,SPY210416C00361000,2021-03-12 4:57PM EDT,361.0,34.1,34.05,34.22,-0.34,-0.99%,52,1572,22.36%,2021-04-16,C,34.135
102,SPY210416C00362000,2021-03-12 4:49PM EDT,362.0,32.95,33.12,33.29,-0.83,-2.46%,25,814,22.17%,2021-04-16,C,33.205
103,SPY210416C00363000,2021-03-12 4:51PM EDT,363.0,31.95,32.19,32.36,-1.21,-3.65%,10,955,21.96%,2021-04-16,C,32.275
104,SPY210416C00364000,2021-03-11 11:39AM EDT,364.0,31.14,31.27,31.44,0.0,-,111,711,21.78%,2021-04-16,C,31.355
105,SPY210416C00365000,2021-03-12 4:57PM EDT,365.0,30.5,30.35,30.52,0.15,+0.49%,343,2914,21.58%,2021-04-16,C,30.435000000000002
106,SPY210416C00366000,2021-03-11 1:30PM EDT,366.0,28.6,29.44,29.61,-1.75,-5.77%,2,1252,21.40%,2021-04-16,C,29.525
107,SPY210416C00367000,2021-03-12 4:59PM EDT,367.0,28.71,28.53,28.7,-1.02,-3.43%,2,3177,21.20%,2021-04-16,C,28.615000000000002
108,SPY210416C00368000,2021-03-11 3:51PM EDT,368.0,28.4,27.63,27.8,0.0,-,68,1378,21.02%,2021-04-16,C,27.715
109,SPY210416C00369000,2021-03-12 4:02PM EDT,369.0,26.1,26.73,26.9,-0.78,-2.90%,27,2164,20.81%,2021-04-16,C,26.814999999999998
110,SPY210416C00370000,2021-03-12 4:18PM EDT,370.0,25.48,25.83,26.01,-0.29,-1.13%,15,16729,20.62%,2021-04-16,C,25.92
111,SPY210416C00371000,2021-03-12 4:59PM EDT,371.0,25.15,24.96,25.12,0.13,+0.52%,13,1084,20.41%,2021-04-16,C,25.04
112,SPY210416C00372000,2021-03-12 11:57AM EDT,372.0,24.17,24.07,24.25,-1.16,-4.58%,14,4880,20.24%,2021-04-16,C,24.16
113,SPY210416C00373000,2021-03-12 10:30AM EDT,373.0,22.02,23.21,23.37,-2.25,-9.27%,4,2301,20.02%,2021-04-16,C,23.29
114,SPY210416C00374000,2021-03-12 3:44PM EDT,374.0,21.89,22.33,22.51,-1.23,-5.32%,313,2184,19.84%,2021-04-16,C,22.42
115,SPY210416C00375000,2021-03-12 5:01PM EDT,375.0,21.69,21.51,21.65,0.19,+0.88%,238,14262,19.63%,2021-04-16,C,21.58
116,SPY210416C00376000,2021-03-12 11:53AM EDT,376.0,19.41,20.63,20.8,-2.13,-9.89%,29,2765,19.43%,2021-04-16,C,20.715
117,SPY210416C00377000,2021-03-12 3:09PM EDT,377.0,19.5,19.82,19.96,-0.67,-3.32%,6,2656,19.23%,2021-04-16,C,19.89
118,SPY210416C00378000,2021-03-12 3:38PM EDT,378.0,18.24,19.03,19.12,-1.16,-5.98%,6,4394,19.00%,2021-04-16,C,19.075000000000003
119,SPY210416C00379000,2021-03-12 2:21PM EDT,379.0,17.42,18.2,18.3,-1.05,-5.68%,23,5935,18.81%,2021-04-16,C,18.25
120,SPY210416C00380000,2021-03-12 5:05PM EDT,380.0,17.59,17.39,17.48,0.29,+1.68%,244,12205,18.58%,2021-04-16,C,17.435000000000002
121,SPY210416C00381000,2021-03-12 4:39PM EDT,381.0,16.54,16.56,16.68,-0.03,-0.18%,74,3704,18.38%,2021-04-16,C,16.619999999999997
122,SPY210416C00382000,2021-03-12 4:08PM EDT,382.0,15.25,15.79,15.88,-1.79,-10.50%,32,7031,18.15%,2021-04-16,C,15.835
123,SPY210416C00383000,2021-03-12 4:28PM EDT,383.0,15.11,15.01,15.1,0.01,+0.07%,129,6683,17.95%,2021-04-16,C,15.055
124,SPY210416C00384000,2021-03-12 5:07PM EDT,384.0,14.42,14.23,14.31,-0.11,-0.76%,132,6884,17.69%,2021-04-16,C,14.27
125,SPY210416C00385000,2021-03-12 5:12PM EDT,385.0,13.58,13.48,13.57,0.03,+0.22%,448,72156,17.51%,2021-04-16,C,13.525
126,SPY210416C00386000,2021-03-12 5:08PM EDT,386.0,12.92,12.74,12.81,-0.15,-1.15%,707,7998,17.26%,2021-04-16,C,12.775
127,SPY210416C00387000,2021-03-12 4:39PM EDT,387.0,12.01,12.01,12.1,-0.21,-1.72%,679,8195,17.08%,2021-04-16,C,12.055
128,SPY210416C00388000,2021-03-12 5:03PM EDT,388.0,11.57,11.3,11.39,0.17,+1.49%,342,5569,16.88%,2021-04-16,C,11.345
129,SPY210416C00389000,2021-03-12 5:12PM EDT,389.0,10.67,10.62,10.68,-0.23,-2.11%,591,4298,16.63%,2021-04-16,C,10.649999999999999
130,SPY210416C00390000,2021-03-12 5:12PM EDT,390.0,10.01,9.95,10.01,-0.07,-0.69%,2505,19102,16.44%,2021-04-16,C,9.98
131,SPY210416C00391000,2021-03-12 5:12PM EDT,391.0,9.35,9.3,9.35,0.01,+0.11%,2758,7431,16.23%,2021-04-16,C,9.325
132,SPY210416C00392000,2021-03-12 5:11PM EDT,392.0,8.76,8.67,8.72,0.05,+0.57%,3440,6251,16.04%,2021-04-16,C,8.695
133,SPY210416C00393000,2021-03-12 5:07PM EDT,393.0,8.2,8.07,8.11,-0.07,-0.85%,2096,5885,15.86%,2021-04-16,C,8.09
134,SPY210416C00394000,2021-03-12 5:14PM EDT,394.0,7.5,7.48,7.52,-0.04,-0.53%,1244,5291,15.67%,2021-04-16,C,7.5
135,SPY210416C00395000,2021-03-12 5:13PM EDT,395.0,6.97,6.92,6.96,-0.08,-1.13%,7097,15755,15.51%,2021-04-16,C,6.9399999999999995
136,SPY210416C00396000,2021-03-12 5:14PM EDT,396.0,6.42,6.39,6.43,-0.16,-2.43%,1405,6089,15.36%,2021-04-16,C,6.41
137,SPY210416C00397000,2021-03-12 5:00PM EDT,397.0,5.94,5.89,5.92,-0.02,-0.34%,1623,7394,15.20%,2021-04-16,C,5.904999999999999
138,SPY210416C00398000,2021-03-12 5:07PM EDT,398.0,5.49,5.41,5.44,-0.02,-0.36%,2415,7980,15.07%,2021-04-16,C,5.425000000000001
139,SPY210416C00399000,2021-03-12 4:53PM EDT,399.0,4.96,4.95,4.99,-0.25,-4.80%,1255,4994,14.95%,2021-04-16,C,4.970000000000001
140,SPY210416C00400000,2021-03-12 5:13PM EDT,400.0,4.53,4.53,4.57,-0.1,-2.16%,4120,36936,14.84%,2021-04-16,C,4.550000000000001
141,SPY210416C00401000,2021-03-12 4:42PM EDT,401.0,4.18,4.13,4.17,-0.06,-1.42%,608,9304,14.73%,2021-04-16,C,4.15
142,SPY210416C00402000,2021-03-12 5:05PM EDT,402.0,3.87,3.76,3.8,0.01,+0.26%,1676,12822,14.64%,2021-04-16,C,3.78
143,SPY210416C00403000,2021-03-12 5:09PM EDT,403.0,3.5,3.42,3.45,0.0,-,875,5449,14.54%,2021-04-16,C,3.435
144,SPY210416C00404000,2021-03-12 5:12PM EDT,404.0,3.13,3.1,3.13,-0.05,-1.57%,276,4628,14.46%,2021-04-16,C,3.115
145,SPY210416C00405000,2021-03-12 5:11PM EDT,405.0,2.85,2.82,2.84,-0.06,-2.06%,5600,15461,14.41%,2021-04-16,C,2.83
146,SPY210416C00406000,2021-03-12 4:42PM EDT,406.0,2.56,2.53,2.57,-0.03,-1.16%,1212,9338,14.36%,2021-04-16,C,2.55
147,SPY210416C00407000,2021-03-12 5:12PM EDT,407.0,2.31,2.29,2.32,-0.05,-2.12%,662,52329,14.31%,2021-04-16,C,2.3049999999999997
148,SPY210416C00408000,2021-03-12 5:11PM EDT,408.0,2.09,2.06,2.09,-0.04,-1.88%,646,5372,14.26%,2021-04-16,C,2.075
149,SPY210416C00409000,2021-03-12 5:14PM EDT,409.0,1.85,1.85,1.88,-0.04,-2.12%,869,71762,14.22%,2021-04-16,C,1.865
150,SPY210416C00410000,2021-03-12 5:08PM EDT,410.0,1.72,1.66,1.69,0.0,-,2610,121959,14.20%,2021-04-16,C,1.6749999999999998
151,SPY210416C00411000,2021-03-12 4:57PM EDT,411.0,1.49,1.49,1.52,-0.04,-2.61%,561,7707,14.19%,2021-04-16,C,1.505
152,SPY210416C00412000,2021-03-12 5:02PM EDT,412.0,1.38,1.34,1.36,-0.03,-2.13%,195,4293,14.16%,2021-04-16,C,1.35
153,SPY210416C00413000,2021-03-12 5:05PM EDT,413.0,1.22,1.2,1.22,-0.11,-8.27%,55,6305,14.15%,2021-04-16,C,1.21
154,SPY210416C00414000,2021-03-12 5:02PM EDT,414.0,1.1,1.07,1.09,-0.22,-16.67%,194,5762,14.15%,2021-04-16,C,1.08
155,SPY210416C00415000,2021-03-12 5:01PM EDT,415.0,0.97,0.95,0.97,-0.03,-3.00%,634,10051,14.12%,2021-04-16,C,0.96
156,SPY210416C00416000,2021-03-12 4:52PM EDT,416.0,0.86,0.85,0.87,-0.03,-3.37%,76,3166,14.15%,2021-04-16,C,0.86
157,SPY210416C00417000,2021-03-12 5:02PM EDT,417.0,0.8,0.76,0.78,-0.02,-2.44%,219,8271,14.17%,2021-04-16,C,0.77
158,SPY210416C00418000,2021-03-12 4:47PM EDT,418.0,0.66,0.68,0.69,-0.06,-8.33%,63,1409,14.16%,2021-04-16,C,0.685
159,SPY210416C00419000,2021-03-12 4:41PM EDT,419.0,0.61,0.6,0.62,-0.02,-3.17%,201,1557,14.21%,2021-04-16,C,0.61
160,SPY210416C00420000,2021-03-12 5:06PM EDT,420.0,0.56,0.54,0.55,-0.02,-3.45%,3858,15926,14.21%,2021-04-16,C,0.545
161,SPY210416C00421000,2021-03-12 4:46PM EDT,421.0,0.49,0.48,0.49,-0.08,-14.04%,44,983,14.23%,2021-04-16,C,0.485
162,SPY210416C00422000,2021-03-12 4:39PM EDT,422.0,0.43,0.43,0.44,-0.04,-8.51%,99,880,14.30%,2021-04-16,C,0.435
163,SPY210416C00423000,2021-03-12 5:01PM EDT,423.0,0.4,0.38,0.39,-0.1,-20.00%,38,2844,14.31%,2021-04-16,C,0.385
164,SPY210416C00424000,2021-03-12 4:41PM EDT,424.0,0.35,0.34,0.35,-0.06,-14.63%,50,881,14.37%,2021-04-16,C,0.345
165,SPY210416C00425000,2021-03-12 4:55PM EDT,425.0,0.3,0.31,0.32,-0.05,-14.29%,707,22696,14.48%,2021-04-16,C,0.315
166,SPY210416C00426000,2021-03-12 5:03PM EDT,426.0,0.29,0.28,0.29,-0.01,-3.33%,528,1734,14.56%,2021-04-16,C,0.28500000000000003
167,SPY210416C00427000,2021-03-12 4:39PM EDT,427.0,0.26,0.25,0.26,-0.05,-16.13%,120,771,14.62%,2021-04-16,C,0.255
168,SPY210416C00428000,2021-03-12 3:34PM EDT,428.0,0.23,0.22,0.23,-0.02,-8.00%,1962,1007,14.65%,2021-04-16,C,0.225
169,SPY210416C00429000,2021-03-12 4:39PM EDT,429.0,0.21,0.2,0.21,-0.04,-16.00%,28,754,14.75%,2021-04-16,C,0.20500000000000002
170,SPY210416C00430000,2021-03-12 5:03PM EDT,430.0,0.19,0.18,0.19,-0.01,-5.00%,3230,46949,14.84%,2021-04-16,C,0.185
171,SPY210416C00435000,2021-03-12 4:39PM EDT,435.0,0.12,0.11,0.12,-0.01,-7.69%,166,2975,15.33%,2021-04-16,C,0.11499999999999999
172,SPY210416C00440000,2021-03-12 4:53PM EDT,440.0,0.08,0.07,0.08,-0.01,-11.11%,168,4327,15.92%,2021-04-16,C,0.07500000000000001
173,SPY210416C00445000,2021-03-12 4:39PM EDT,445.0,0.06,0.05,0.06,0.0,-,128,2851,16.70%,2021-04-16,C,0.055
174,SPY210416C00450000,2021-03-12 4:41PM EDT,450.0,0.03,0.03,0.04,-0.02,-40.00%,192,13737,17.19%,2021-04-16,C,0.035
175,SPY210416C00455000,2021-03-12 4:53PM EDT,455.0,0.03,0.02,0.04,0.0,-,56,502,18.46%,2021-04-16,C,0.03
176,SPY210416C00460000,2021-03-11 4:21PM EDT,460.0,0.03,0.0,0.0,0.01,+50.00%,153,3264,12.50%,2021-04-16,C,0.0
177,SPY210416C00465000,2021-03-10 3:56PM EDT,465.0,0.02,0.01,0.02,0.0,-,105,436,19.53%,2021-04-16,C,0.015
178,SPY210416C00470000,2021-03-12 4:39PM EDT,470.0,0.02,0.01,0.02,0.0,-,5,1205,20.51%,2021-04-16,C,0.015
179,SPY210416C00475000,2021-03-09 11:11AM EDT,475.0,0.02,0.01,0.02,0.0,-,101,1073,21.68%,2021-04-16,C,0.015
180,SPY210416C00480000,2021-03-12 11:04AM EDT,480.0,0.02,0.0,0.0,0.0,-,101,837,12.50%,2021-04-16,C,0.0
181,SPY210416C00485000,2021-03-12 2:44PM EDT,485.0,0.01,0.01,0.02,-0.01,-50.00%,1,290,23.83%,2021-04-16,C,0.015
